student_id,balance,phone,email,first_name,last_name,emergency_contact,spartan_card_no,department,course,enrollment_year
S191987998,146,(518) 203-7788,edward.brown@hotmail.com,Edward,Brown,(518) 203-7788,59093496,Anthropology,BS (Cultural Anthropology),2022
S705466589,445,(051) 518-6449,erik.watson@gmail.com,Erik,Watson,(051) 518-6449,24541967,Statistics,BS (Statistical Modelling),2025
S208592089,432,(546) 291-4865,mathew.aguilar@gmail.com,Mathew,Aguilar,(546) 291-4865,50559278,Mathematics,BS (Pure Mathematics),2025
S419340814,586,(505) 423-5733,elizabeth.calderon@gmail.com,Elizabeth,Calderon,(505) 423-5733,99991136,Engineering,BS (Mechanical Engineering),2023
S794714044,116,(888) 059-2962,eric.phillips@gmail.com,Eric,Phillips,(888) 059-2962,47546086,Nursing,BSN (Clinical Nursing),2022
S624239396,303,(653) 794-7383,henry.schwartz@yahoo.com,Henry,Schwartz,(653) 794-7383,18126895,Nursing,BSN (Clinical Nursing),2024
S299802690,224,(597) 746-8862,tammy.mueller@gmail.com,Tammy,Mueller,(597) 746-8862,54762841,English,BS (English Literature),2024
S972855827,101,(818) 141-2478,laurie.taylor@gmail.com,Laurie,Taylor,(818) 141-2478,89991301,Linguistics,MS (Applied Linguistics),2023
S299571813,401,(685) 361-5305,renee.velasquez@gmail.com,Renee,Velasquez,(685) 361-5305,41934639,Biology,BS (Molecular Biology),2024
S310757475,331,(204) 727-7901,mary.santos@gmail.com,Mary,Santos,(204) 727-7901,24636981,Engineering,BS (Mechanical Engineering),2024
S590785490,533,(986) 143-4103,jonathan.conley@yahoo.com,Jonathan,Conley,(986) 143-4103,74287863,Environmental Science,BS (Environmental Policy),2022
S464900602,399,(179) 808-9324,danielle.dean@yahoo.com,Danielle,Dean,(179) 808-9324,94970119,Art,BS (Visual Arts),2024
S539546078,549,(621) 851-8888,aaron.gomez@hotmail.com,Aaron,Gomez,(621) 851-8888,97364555,Physics,BS (Theoretical Physics),2022
S772423440,260,(654) 051-5319,andrew.marks@hotmail.com,Andrew,Marks,(654) 051-5319,67279295,Chemistry,BS (Analytical Chemistry),2023
S631908007,384,(772) 217-0430,katherine.anderson@gmail.com,Katherine,Anderson,(772) 217-0430,27463800,Environmental Science,BS (Environmental Policy),2025
S095648949,595,(403) 450-5415,nina.stewart@yahoo.com,Nina,Stewart,(403) 450-5415,16904975,Linguistics,MS (Applied Linguistics),2022
S231514835,490,(584) 161-6928,pamela.paul@yahoo.com,Pamela,Paul,(584) 161-6928,25419645,Music,BS (Music Composition),2025
S224576656,524,(275) 705-9640,manuel.miller@gmail.com,Manuel,Miller,(275) 705-9640,98292612,Music,BS (Music Composition),2024
S602793116,172,(021) 355-6909,emily.sullivan@gmail.com,Emily,Sullivan,(021) 355-6909,19339597,Chemistry,BS (Analytical Chemistry),2022
S790534133,405,(285) 654-3102,erika.rush@yahoo.com,Erika,Rush,(285) 654-3102,86181117,Sociology,BS (Social Research),2022
S001662644,210,(447) 394-7312,april.mcintyre@gmail.com,April,Mcintyre,(447) 394-7312,46663833,Biology,BS (Molecular Biology),2023
S714264603,128,(188) 442-2583,shannon.roach@gmail.com,Shannon,Roach,(188) 442-2583,90440034,Sociology,BS (Social Research),2023
S032123071,372,(705) 895-7829,tracie.conner@gmail.com,Tracie,Conner,(705) 895-7829,61030579,Physics,BS (Theoretical Physics),2022
S758808009,394,(691) 251-7785,cameron.sanders@gmail.com,Cameron,Sanders,(691) 251-7785,52018286,Philosophy,BS (Ethics and Logic),2025
S446249194,145,(801) 824-2253,natalie.deleon@yahoo.com,Natalie,Deleon,(801) 824-2253,58567046,Philosophy,BS (Ethics and Logic),2022
S414408727,361,(424) 981-8299,stacey.stone@gmail.com,Stacey,Stone,(424) 981-8299,20251466,Computer Science,BS (Artificial Intelligence),2023
S651739611,201,(010) 943-9690,george.weber@yahoo.com,George,Weber,(010) 943-9690,44355473,Psychology,MS (Industrial Psychology),2025
S117096455,429,(471) 027-6773,pamela.gardner@yahoo.com,Pamela,Gardner,(471) 027-6773,85764804,Sociology,BS (Social Research),2022
S668610432,280,(258) 815-3714,catherine.edwards@yahoo.com,Catherine,Edwards,(258) 815-3714,17539294,Theology,BS (Religious Studies),2025
S534080886,296,(595) 327-8774,kelly.cruz@yahoo.com,Kelly,Cruz,(595) 327-8774,78057490,Anthropology,BS (Cultural Anthropology),2024
S457848634,590,(950) 047-9748,william.levy@gmail.com,William,Levy,(950) 047-9748,30248230,Linguistics,MS (Applied Linguistics),2025
S018375124,368,(983) 584-1687,nicole.luna@hotmail.com,Nicole,Luna,(983) 584-1687,68978194,Political Science,BS (Political Theory),2024
S513243576,268,(558) 523-9868,joshua.hays@gmail.com,Joshua,Hays,(558) 523-9868,18846539,Business,MBA (International Business),2025
S062769835,569,(259) 526-9495,mason.wells@hotmail.com,Mason,Wells,(259) 526-9495,28982195,English,BS (English Literature),2023
S396359337,443,(055) 169-4097,maria.patel@yahoo.com,Maria,Patel,(055) 169-4097,27152188,Anthropology,BS (Cultural Anthropology),2025
S799906503,274,(728) 962-3091,tammy.patton@gmail.com,Tammy,Patton,(728) 962-3091,38748452,English,BS (English Literature),2024
S942108178,119,(838) 578-6527,edward.vaughn@hotmail.com,Edward,Vaughn,(838) 578-6527,80669879,Linguistics,MS (Applied Linguistics),2022
S686511669,122,(348) 434-4375,kelsey.le@yahoo.com,Kelsey,Le,(348) 434-4375,68743530,Art,BS (Visual Arts),2024
S462427453,562,(866) 524-0415,michael.peck@yahoo.com,Michael,Peck,(866) 524-0415,72950208,Political Science,BS (Political Theory),2024
S839942359,510,(384) 842-1993,diana.burgess@gmail.com,Diana,Burgess,(384) 842-1993,36802975,Nursing,BSN (Clinical Nursing),2025
S680439751,490,(301) 657-1208,brent.stein@gmail.com,Brent,Stein,(301) 657-1208,21257528,Chemistry,BS (Analytical Chemistry),2024
S145809889,127,(401) 938-0262,richard.donovan@gmail.com,Richard,Donovan,(401) 938-0262,65686520,Psychology,MS (Industrial Psychology),2025
S333023073,170,(499) 154-7887,wendy.sanders@gmail.com,Wendy,Sanders,(499) 154-7887,29602406,Computer Science,BS (Artificial Intelligence),2022
S094874690,527,(152) 742-0549,melissa.mcdonald@hotmail.com,Melissa,Mcdonald,(152) 742-0549,38944689,Education,BS (Curriculum Studies),2024
S196472126,334,(227) 530-4637,melissa.prince@yahoo.com,Melissa,Prince,(227) 530-4637,93592219,Statistics,BS (Statistical Modelling),2023
S084565720,223,(301) 742-6841,stephanie.turner@hotmail.com,Stephanie,Turner,(301) 742-6841,57354167,Engineering,BS (Mechanical Engineering),2023
S516539575,299,(727) 956-8783,sabrina.phillips@gmail.com,Sabrina,Phillips,(727) 956-8783,12729224,Statistics,BS (Statistical Modelling),2025
S803373026,495,(878) 519-1088,erin.larson@gmail.com,Erin,Larson,(878) 519-1088,23913528,Sociology,BS (Social Research),2024
S571336869,423,(397) 187-0728,mark.meyer@yahoo.com,Mark,Meyer,(397) 187-0728,74227366,Statistics,BS (Statistical Modelling),2023
S117902783,363,(403) 910-6518,stephen.brown@gmail.com,Stephen,Brown,(403) 910-6518,51617680,Education,BS (Curriculum Studies),2023
S384062806,163,(265) 676-6182,sarah.jones@hotmail.com,Sarah,Jones,(265) 676-6182,46670512,Computer Science,BS (Artificial Intelligence),2025
S744493163,236,(682) 300-4786,michelle.wilson@hotmail.com,Michelle,Wilson,(682) 300-4786,79696025,Art,BS (Visual Arts),2024
S870685306,328,(310) 690-3311,nicolas.hall@hotmail.com,Nicolas,Hall,(310) 690-3311,51137177,Political Science,BS (Political Theory),2023
S646308392,138,(673) 830-2843,arthur.harper@hotmail.com,Arthur,Harper,(673) 830-2843,17698469,Engineering,BS (Mechanical Engineering),2024
S645710864,134,(364) 408-9268,barbara.ray@yahoo.com,Barbara,Ray,(364) 408-9268,26942307,Statistics,BS (Statistical Modelling),2025
S263901434,393,(624) 628-7334,brandon.cooper@hotmail.com,Brandon,Cooper,(624) 628-7334,20319387,Environmental Science,BS (Environmental Policy),2024
S133290159,234,(866) 882-6343,drew.ford@yahoo.com,Drew,Ford,(866) 882-6343,25805613,Business,MBA (International Business),2022
S772669210,560,(046) 990-1398,deborah.nielsen@gmail.com,Deborah,Nielsen,(046) 990-1398,33173544,Linguistics,MS (Applied Linguistics),2023
S798996752,535,(739) 363-8546,timothy.booth@yahoo.com,Timothy,Booth,(739) 363-8546,50259503,Philosophy,BS (Ethics and Logic),2022
S177132972,113,(717) 535-5609,amanda.howard@gmail.com,Amanda,Howard,(717) 535-5609,76306502,Geography,BS (Human Geography),2024
S354918037,369,(996) 423-5369,joyce.smith@gmail.com,Joyce,Smith,(996) 423-5369,74245343,Anthropology,BS (Cultural Anthropology),2025
S445130451,427,(252) 287-2808,victor.pena@gmail.com,Victor,Pena,(252) 287-2808,83994695,Education,BS (Curriculum Studies),2022
S571588531,277,(623) 120-3875,lisa.williams@gmail.com,Lisa,Williams,(623) 120-3875,40262109,Geography,BS (Human Geography),2022
S952019266,357,(088) 600-8484,christine.estrada@gmail.com,Christine,Estrada,(088) 600-8484,22539748,Geography,BS (Human Geography),2025
S655169390,141,(339) 845-4615,wayne.wolfe@yahoo.com,Wayne,Wolfe,(339) 845-4615,13808225,Education,BS (Curriculum Studies),2023
S065674646,428,(016) 668-7002,stephen.sanchez@gmail.com,Stephen,Sanchez,(016) 668-7002,48879071,Psychology,MS (Industrial Psychology),2025
S948620044,274,(397) 401-4890,vincent.hamilton@gmail.com,Vincent,Hamilton,(397) 401-4890,37383505,Psychology,MS (Industrial Psychology),2022
S637789135,223,(396) 856-2185,suzanne.matthews@gmail.com,Suzanne,Matthews,(396) 856-2185,52831009,Psychology,MS (Industrial Psychology),2023
S422023628,516,(599) 965-0477,connor.hall@gmail.com,Connor,Hall,(599) 965-0477,31434525,Linguistics,MS (Applied Linguistics),2024
S353745430,358,(431) 142-6265,michael.pugh@yahoo.com,Michael,Pugh,(431) 142-6265,62780072,Law,BS (Corporate Law),2022
S425025862,533,(267) 888-6101,kyle.ward@yahoo.com,Kyle,Ward,(267) 888-6101,11097552,Chemistry,BS (Analytical Chemistry),2024
S112340053,137,(183) 982-6224,angela.carlson@yahoo.com,Angela,Carlson,(183) 982-6224,48735464,Music,BS (Music Composition),2025
S345866103,385,(646) 471-5437,joseph.thomas@hotmail.com,Joseph,Thomas,(646) 471-5437,55511258,Biology,BS (Molecular Biology),2024
S971550134,176,(406) 596-5756,christina.ellis@hotmail.com,Christina,Ellis,(406) 596-5756,71335966,Sociology,BS (Social Research),2024
S653619723,372,(654) 793-5646,terri.taylor@yahoo.com,Terri,Taylor,(654) 793-5646,78412668,Music,BS (Music Composition),2023
S454031438,113,(828) 073-7416,daniel.elliott@hotmail.com,Daniel,Elliott,(828) 073-7416,94457912,Chemistry,BS (Analytical Chemistry),2023
S526952045,496,(426) 617-9796,victor.schultz@hotmail.com,Victor,Schultz,(426) 617-9796,93179531,Law,BS (Corporate Law),2024
S816091031,310,(589) 113-5290,william.knapp@hotmail.com,William,Knapp,(589) 113-5290,37365878,Law,BS (Corporate Law),2023
S564877559,369,(143) 888-9937,tonya.byrd@yahoo.com,Tonya,Byrd,(143) 888-9937,74205866,Music,BS (Music Composition),2022
S394556868,412,(825) 071-4611,peter.barton@hotmail.com,Peter,Barton,(825) 071-4611,45482091,Philosophy,BS (Ethics and Logic),2022
S492299776,262,(571) 775-1401,donald.collins@gmail.com,Donald,Collins,(571) 775-1401,75632882,Computer Science,BS (Artificial Intelligence),2025
S459725583,588,(258) 673-6226,melinda.wong@yahoo.com,Melinda,Wong,(258) 673-6226,56323191,Environmental Science,BS (Environmental Policy),2025
S710909672,238,(796) 603-3419,anthony.mendez@gmail.com,Anthony,Mendez,(796) 603-3419,82286705,Political Science,BS (Political Theory),2024
S961652656,151,(147) 859-6969,lauren.herrera@gmail.com,Lauren,Herrera,(147) 859-6969,17045237,Economics,BS (Development Economics),2024
S471705949,344,(912) 513-4125,michael.bruce@hotmail.com,Michael,Bruce,(912) 513-4125,73847325,Environmental Science,BS (Environmental Policy),2022
S672207627,567,(627) 828-2742,donald.price@gmail.com,Donald,Price,(627) 828-2742,15006085,Business,MBA (International Business),2024
S948908717,548,(507) 236-8876,leonard.hayes@hotmail.com,Leonard,Hayes,(507) 236-8876,48851599,Business,MBA (International Business),2022
S026934658,535,(903) 404-3842,travis.mckinney@yahoo.com,Travis,Mckinney,(903) 404-3842,28012011,Biology,BS (Molecular Biology),2024
S528376703,390,(148) 580-7836,ariel.barton@gmail.com,Ariel,Barton,(148) 580-7836,49597485,Linguistics,MS (Applied Linguistics),2025
S616644340,344,(407) 451-7133,jill.valdez@hotmail.com,Jill,Valdez,(407) 451-7133,28872606,Chemistry,BS (Analytical Chemistry),2022
S322279370,284,(923) 309-5849,brianna.bell@hotmail.com,Brianna,Bell,(923) 309-5849,97735896,Chemistry,BS (Analytical Chemistry),2025
S601345873,427,(126) 042-2325,gary.werner@gmail.com,Gary,Werner,(126) 042-2325,25759274,Psychology,MS (Industrial Psychology),2025
S926211764,567,(671) 168-4577,kathleen.lowe@yahoo.com,Kathleen,Lowe,(671) 168-4577,83717007,Nursing,BSN (Clinical Nursing),2024
S456227804,139,(863) 637-4545,brandi.melton@hotmail.com,Brandi,Melton,(863) 637-4545,58557943,Education,BS (Curriculum Studies),2023
S918925184,467,(701) 277-0632,becky.knight@hotmail.com,Becky,Knight,(701) 277-0632,37568520,Statistics,BS (Statistical Modelling),2025
S505845404,470,(152) 064-3611,kevin.baxter@gmail.com,Kevin,Baxter,(152) 064-3611,51361818,Economics,BS (Development Economics),2022
S020204750,578,(162) 713-6111,brittney.stone@yahoo.com,Brittney,Stone,(162) 713-6111,19263592,Music,BS (Music Composition),2024
S421167938,545,(909) 275-3269,michael.evans@hotmail.com,Michael,Evans,(909) 275-3269,70201634,Art,BS (Visual Arts),2022
S930981819,370,(965) 652-3413,peggy.taylor@hotmail.com,Peggy,Taylor,(965) 652-3413,62755436,Sociology,BS (Social Research),2024
S198794743,226,(983) 640-3761,carolyn.griffith@gmail.com,Carolyn,Griffith,(983) 640-3761,40824989,Mathematics,BS (Pure Mathematics),2022
S411870669,223,(965) 827-1091,victor.wheeler@gmail.com,Victor,Wheeler,(965) 827-1091,12099943,Law,BS (Corporate Law),2022
S210570742,486,(188) 924-1418,bruce.mccormick@gmail.com,Bruce,Mccormick,(188) 924-1418,39161379,Philosophy,BS (Ethics and Logic),2022
S805287356,221,(316) 179-9042,mark.willis@gmail.com,Mark,Willis,(316) 179-9042,53038943,Statistics,BS (Statistical Modelling),2023
S316230989,447,(275) 884-2524,alexander.taylor@hotmail.com,Alexander,Taylor,(275) 884-2524,94019376,Philosophy,BS (Ethics and Logic),2022
S449967341,194,(564) 814-9177,olivia.wise@hotmail.com,Olivia,Wise,(564) 814-9177,60527631,Law,BS (Corporate Law),2025
S748378959,371,(252) 419-1380,michael.porter@gmail.com,Michael,Porter,(252) 419-1380,84797762,Economics,BS (Development Economics),2025
S122698071,293,(208) 635-3654,brandon.cox@gmail.com,Brandon,Cox,(208) 635-3654,46032304,Education,BS (Curriculum Studies),2023
S668177548,255,(617) 445-1870,jeffrey.black@yahoo.com,Jeffrey,Black,(617) 445-1870,54689713,Nursing,BSN (Clinical Nursing),2023
S909919426,303,(060) 385-0506,steven.vargas@hotmail.com,Steven,Vargas,(060) 385-0506,37449289,Geography,BS (Human Geography),2023
S957353254,511,(410) 386-5719,jessica.garcia@gmail.com,Jessica,Garcia,(410) 386-5719,23234972,Theology,BS (Religious Studies),2023
S948934521,383,(623) 445-6557,preston.vargas@yahoo.com,Preston,Vargas,(623) 445-6557,45000508,Physics,BS (Theoretical Physics),2023
S954133846,231,(912) 127-7561,jesus.harding@hotmail.com,Jesus,Harding,(912) 127-7561,55307111,Geography,BS (Human Geography),2022
S747747315,569,(112) 490-3521,michael.townsend@hotmail.com,Michael,Townsend,(112) 490-3521,34702473,English,BS (English Literature),2022
S899580800,531,(678) 831-7121,john.kelly@gmail.com,John,Kelly,(678) 831-7121,28453800,Anthropology,BS (Cultural Anthropology),2024
S601240699,349,(236) 519-9410,bryan.norman@gmail.com,Bryan,Norman,(236) 519-9410,98487646,Business,MBA (International Business),2022
S054075256,512,(151) 070-2966,james.brewer@yahoo.com,James,Brewer,(151) 070-2966,67790557,Political Science,BS (Political Theory),2024
S919526237,291,(532) 447-2099,anthony.vega@hotmail.com,Anthony,Vega,(532) 447-2099,20605783,Mathematics,BS (Pure Mathematics),2022
S942628096,147,(146) 263-8380,robert.pierce@yahoo.com,Robert,Pierce,(146) 263-8380,14252622,Business,MBA (International Business),2025
S434670863,558,(856) 420-5930,amy.washington@yahoo.com,Amy,Washington,(856) 420-5930,22799248,Political Science,BS (Political Theory),2023
S502884009,388,(334) 803-9652,brian.frey@gmail.com,Brian,Frey,(334) 803-9652,82884346,Linguistics,MS (Applied Linguistics),2024
S618021889,183,(992) 937-8427,joel.stewart@gmail.com,Joel,Stewart,(992) 937-8427,50168264,Education,BS (Curriculum Studies),2023
S558653776,356,(087) 059-3252,christopher.hall@yahoo.com,Christopher,Hall,(087) 059-3252,20526386,History,BS (Modern History),2024
S730206659,115,(851) 569-1545,janet.thomas@gmail.com,Janet,Thomas,(851) 569-1545,53805532,Nursing,BSN (Clinical Nursing),2024
S674253153,251,(539) 264-4220,theresa.oconnor@hotmail.com,Theresa,Oconnor,(539) 264-4220,93029219,Philosophy,BS (Ethics and Logic),2023
S770176731,582,(939) 172-5135,stacy.myers@yahoo.com,Stacy,Myers,(939) 172-5135,10697290,Nursing,BSN (Clinical Nursing),2025
S332114540,383,(570) 433-1541,gary.mcclure@hotmail.com,Gary,Mcclure,(570) 433-1541,57501571,Law,BS (Corporate Law),2023
S053323099,392,(179) 327-1040,jessica.costa@yahoo.com,Jessica,Costa,(179) 327-1040,42580349,Psychology,MS (Industrial Psychology),2025
S561221122,284,(181) 599-7062,matthew.barron@hotmail.com,Matthew,Barron,(181) 599-7062,20324210,Political Science,BS (Political Theory),2022
S226511393,294,(688) 444-3106,craig.harris@hotmail.com,Craig,Harris,(688) 444-3106,93240786,Chemistry,BS (Analytical Chemistry),2022
S833889139,345,(506) 149-7310,andrea.henry@gmail.com,Andrea,Henry,(506) 149-7310,36957830,English,BS (English Literature),2022
S399264523,286,(714) 677-4186,george.carter@gmail.com,George,Carter,(714) 677-4186,62738860,Nursing,BSN (Clinical Nursing),2024
S155565947,508,(704) 774-3490,nathan.james@gmail.com,Nathan,James,(704) 774-3490,68848427,Psychology,MS (Industrial Psychology),2025
S268744626,504,(586) 938-0686,karen.contreras@hotmail.com,Karen,Contreras,(586) 938-0686,66791272,Sociology,BS (Social Research),2025
S345559840,459,(374) 160-8989,gloria.mayer@hotmail.com,Gloria,Mayer,(374) 160-8989,58255231,Economics,BS (Development Economics),2023
S856076360,446,(332) 061-6329,stacy.cole@yahoo.com,Stacy,Cole,(332) 061-6329,96574622,English,BS (English Literature),2024
S693710275,213,(168) 685-4870,luis.acosta@hotmail.com,Luis,Acosta,(168) 685-4870,87206788,Environmental Science,BS (Environmental Policy),2023
S437553014,159,(991) 191-4856,cindy.mills@yahoo.com,Cindy,Mills,(991) 191-4856,21523236,Geography,BS (Human Geography),2025
S873375307,263,(462) 996-0653,patrick.washington@gmail.com,Patrick,Washington,(462) 996-0653,70726434,Economics,BS (Development Economics),2025
S007031897,189,(447) 132-4754,julie.mccall@hotmail.com,Julie,Mccall,(447) 132-4754,79255529,English,BS (English Literature),2025
S534476163,552,(214) 862-8902,jacob.lewis@gmail.com,Jacob,Lewis,(214) 862-8902,92424037,Geography,BS (Human Geography),2024
S153727801,195,(307) 053-4578,nancy.gonzalez@yahoo.com,Nancy,Gonzalez,(307) 053-4578,82060023,Mathematics,BS (Pure Mathematics),2025
S311649333,278,(241) 406-0293,brooke.thompson@gmail.com,Brooke,Thompson,(241) 406-0293,25331969,Statistics,BS (Statistical Modelling),2022
S341689563,256,(072) 290-3494,joseph.ortiz@hotmail.com,Joseph,Ortiz,(072) 290-3494,42020689,Engineering,BS (Mechanical Engineering),2025
S131355445,576,(748) 969-1085,tammy.day@hotmail.com,Tammy,Day,(748) 969-1085,96605343,Psychology,MS (Industrial Psychology),2022
S954134030,199,(454) 443-2830,deborah.lynch@hotmail.com,Deborah,Lynch,(454) 443-2830,28325379,Art,BS (Visual Arts),2022
S895464840,507,(074) 466-6099,richard.flores@gmail.com,Richard,Flores,(074) 466-6099,14142053,Chemistry,BS (Analytical Chemistry),2024
S722514775,393,(824) 172-4825,gina.little@hotmail.com,Gina,Little,(824) 172-4825,25194922,Sociology,BS (Social Research),2023
S178380759,476,(170) 999-1738,julie.parker@gmail.com,Julie,Parker,(170) 999-1738,23746101,Nursing,BSN (Clinical Nursing),2024
S872943849,207,(356) 972-5217,mikayla.james@yahoo.com,Mikayla,James,(356) 972-5217,41802361,Economics,BS (Development Economics),2022
S853761122,391,(927) 129-6666,joshua.juarez@yahoo.com,Joshua,Juarez,(927) 129-6666,17966873,Philosophy,BS (Ethics and Logic),2022
S325372289,169,(542) 168-9421,alexis.morris@gmail.com,Alexis,Morris,(542) 168-9421,22780905,Law,BS (Corporate Law),2024
S979981827,489,(625) 753-2603,kenneth.carter@gmail.com,Kenneth,Carter,(625) 753-2603,43226234,Political Science,BS (Political Theory),2024
S831663077,363,(150) 648-9090,jessica.lawrence@hotmail.com,Jessica,Lawrence,(150) 648-9090,64069715,Political Science,BS (Political Theory),2022
S768445880,425,(167) 618-4723,daniel.huff@hotmail.com,Daniel,Huff,(167) 618-4723,71532017,Anthropology,BS (Cultural Anthropology),2025
S630524228,380,(891) 411-7393,abigail.dean@yahoo.com,Abigail,Dean,(891) 411-7393,55332729,Economics,BS (Development Economics),2025
S554360074,575,(087) 375-3001,marie.dudley@gmail.com,Marie,Dudley,(087) 375-3001,26674831,Biology,BS (Molecular Biology),2022
S840926161,147,(181) 143-7447,mary.caldwell@gmail.com,Mary,Caldwell,(181) 143-7447,46778269,Geography,BS (Human Geography),2022
S623913362,146,(455) 611-0022,cory.thompson@yahoo.com,Cory,Thompson,(455) 611-0022,97977738,Business,MBA (International Business),2024
S704126068,455,(552) 166-7467,christy.johns@yahoo.com,Christy,Johns,(552) 166-7467,66682016,Music,BS (Music Composition),2023
S103713817,428,(202) 169-7972,deborah.robles@hotmail.com,Deborah,Robles,(202) 169-7972,27870584,Sociology,BS (Social Research),2022
S915064761,415,(277) 167-0145,noah.howard@gmail.com,Noah,Howard,(277) 167-0145,65258766,Physics,BS (Theoretical Physics),2024
S680175393,226,(891) 637-5628,janet.gregory@hotmail.com,Janet,Gregory,(891) 637-5628,28767690,Linguistics,MS (Applied Linguistics),2024
S205667686,205,(877) 217-5354,brian.schneider@gmail.com,Brian,Schneider,(877) 217-5354,50486688,Statistics,BS (Statistical Modelling),2022
S557208941,426,(779) 717-7517,nicholas.montoya@hotmail.com,Nicholas,Montoya,(779) 717-7517,77052833,History,BS (Modern History),2025
S559991853,490,(994) 883-7550,denise.garcia@gmail.com,Denise,Garcia,(994) 883-7550,33188838,Business,MBA (International Business),2025
S490502993,421,(113) 055-4885,megan.rivera@hotmail.com,Megan,Rivera,(113) 055-4885,48451741,Mathematics,BS (Pure Mathematics),2024
S774465100,598,(331) 637-3516,travis.underwood@gmail.com,Travis,Underwood,(331) 637-3516,37272705,Computer Science,BS (Artificial Intelligence),2024
S853686067,129,(177) 982-7080,sara.monroe@hotmail.com,Sara,Monroe,(177) 982-7080,42029368,Computer Science,BS (Artificial Intelligence),2022
S291606610,459,(216) 995-8669,savannah.roberson@hotmail.com,Savannah,Roberson,(216) 995-8669,28416255,Theology,BS (Religious Studies),2024
S043582378,494,(984) 858-3339,kathryn.hill@hotmail.com,Kathryn,Hill,(984) 858-3339,25845304,Physics,BS (Theoretical Physics),2023
S834529645,355,(158) 799-6846,kelly.reed@gmail.com,Kelly,Reed,(158) 799-6846,17440911,Psychology,MS (Industrial Psychology),2022
S811786170,225,(003) 424-4204,alexandra.johnson@gmail.com,Alexandra,Johnson,(003) 424-4204,11649277,Political Science,BS (Political Theory),2024
S039190876,264,(863) 840-6665,miranda.stevenson@hotmail.com,Miranda,Stevenson,(863) 840-6665,40133935,Computer Science,BS (Artificial Intelligence),2025
S293851602,123,(973) 598-9334,brian.manning@yahoo.com,Brian,Manning,(973) 598-9334,79226031,Sociology,BS (Social Research),2023
S904283502,501,(281) 606-4842,gregory.fleming@gmail.com,Gregory,Fleming,(281) 606-4842,85672859,Law,BS (Corporate Law),2024
S364547197,177,(909) 479-8515,brandy.scott@hotmail.com,Brandy,Scott,(909) 479-8515,42900372,Education,BS (Curriculum Studies),2022
S042388906,153,(826) 886-1533,jeffrey.white@hotmail.com,Jeffrey,White,(826) 886-1533,51273379,Physics,BS (Theoretical Physics),2023
S294991202,311,(987) 801-5739,martin.ward@hotmail.com,Martin,Ward,(987) 801-5739,79760901,Engineering,BS (Mechanical Engineering),2022
S739001805,439,(858) 877-0435,jonathan.ramsey@hotmail.com,Jonathan,Ramsey,(858) 877-0435,68382413,Sociology,BS (Social Research),2022
S922387732,583,(013) 361-3861,teresa.ayala@hotmail.com,Teresa,Ayala,(013) 361-3861,20024377,Biology,BS (Molecular Biology),2023
S275114459,331,(466) 766-5061,johnathan.jones@hotmail.com,Johnathan,Jones,(466) 766-5061,37868462,History,BS (Modern History),2023
S321168608,175,(901) 581-4491,adam.cortez@yahoo.com,Adam,Cortez,(901) 581-4491,53995720,Music,BS (Music Composition),2024
S023562904,384,(326) 842-4508,kathy.kim@hotmail.com,Kathy,Kim,(326) 842-4508,70693413,Theology,BS (Religious Studies),2024
S724810891,290,(143) 536-8222,ashley.long@gmail.com,Ashley,Long,(143) 536-8222,63765180,Engineering,BS (Mechanical Engineering),2022
S690590916,147,(290) 878-1414,christina.king@gmail.com,Christina,King,(290) 878-1414,27286109,Political Science,BS (Political Theory),2024
S983041583,295,(913) 577-5949,james.carpenter@gmail.com,James,Carpenter,(913) 577-5949,13957046,Psychology,MS (Industrial Psychology),2025
S612128062,355,(364) 525-7775,ariana.diaz@yahoo.com,Ariana,Diaz,(364) 525-7775,49608344,Linguistics,MS (Applied Linguistics),2025
S450211856,506,(834) 110-8099,tony.rodriguez@yahoo.com,Tony,Rodriguez,(834) 110-8099,82968364,Mathematics,BS (Pure Mathematics),2022
S037473532,263,(848) 872-5639,kayla.lewis@hotmail.com,Kayla,Lewis,(848) 872-5639,13498112,Nursing,BSN (Clinical Nursing),2023
S508284352,151,(039) 282-7229,mercedes.anderson@hotmail.com,Mercedes,Anderson,(039) 282-7229,31424479,Linguistics,MS (Applied Linguistics),2025
S225777959,281,(731) 453-0385,donna.faulkner@yahoo.com,Donna,Faulkner,(731) 453-0385,62133188,Psychology,MS (Industrial Psychology),2024
S991237357,585,(051) 844-9892,terry.gibson@yahoo.com,Terry,Gibson,(051) 844-9892,57201978,Sociology,BS (Social Research),2024
S519889510,219,(386) 557-7908,desiree.diaz@gmail.com,Desiree,Diaz,(386) 557-7908,17538738,Art,BS (Visual Arts),2023
S604368318,130,(225) 913-6517,xavier.campbell@hotmail.com,Xavier,Campbell,(225) 913-6517,53431355,Education,BS (Curriculum Studies),2023
S059788939,400,(603) 029-9228,timothy.clark@gmail.com,Timothy,Clark,(603) 029-9228,63095937,Music,BS (Music Composition),2024
S131197961,455,(137) 977-2369,gabriel.nielsen@gmail.com,Gabriel,Nielsen,(137) 977-2369,85427317,Statistics,BS (Statistical Modelling),2023
S863683721,585,(984) 257-9913,laura.hoover@yahoo.com,Laura,Hoover,(984) 257-9913,10241310,Computer Science,BS (Artificial Intelligence),2023
